"n","k_babylon","m1","m2","babylon_log10_error","nested_log10_error","deviation"
2,4,2,2,"-48.092197736254530439241922412403303414251893550118329","-48.092197736254530439241922412403303414251893550118329","0.e-51"
2,4,2,3,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,2,4,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,2,5,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,3,0,"-48.092197736254530439241922412403303414251893550118329","0.e-99","48.092197736254530439241922412403303414251893550118329"
2,4,3,1,"-48.092197736254530439241922412403303414251893550118329","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","41.33977403568918488512992739707944577914589768375243"
2,4,3,2,"-48.092197736254530439241922412403303414251893550118329","-75.65204708058067207823869","27.55984934432614163899677"
2,4,3,3,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,3,4,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,4,3,5,"-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-","-DirectedInfinity-"
2,5,1,0,"-97.09","0.e-99","97.09"
2,5,1,1,"-97.09","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","93.4"
2,5,1,2,"-97.09","-26.656759357334198053355549057411648804899489700635215359533414599427068347","70.43"
2,5,1,3,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,1,4,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,1,5,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,2,0,"-97.09","0.e-99","97.09"
2,5,2,1,"-97.09","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","91.87"
2,5,2,2,"-97.09","-48.092197736254530439241922412403303414251893550118329","49."
2,5,2,3,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,2,4,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,2,5,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,3,0,"-97.09","0.e-99","97.09"
2,5,3,1,"-97.09","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","90.34"
2,5,3,2,"-97.09","-75.65204708058067207823869","21.44"
2,5,3,3,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,3,4,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,5,3,5,"-97.09","-DirectedInfinity-","-DirectedInfinity-"
2,6,1,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,6,1,1,"-DirectedInfinity-","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","-DirectedInfinity-"
2,6,1,2,"-DirectedInfinity-","-26.656759357334198053355549057411648804899489700635215359533414599427068347","-DirectedInfinity-"
2,6,1,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,1,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,1,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,2,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,6,2,1,"-DirectedInfinity-","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-"
2,6,2,2,"-DirectedInfinity-","-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-"
2,6,2,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,2,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,2,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,3,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,6,3,1,"-DirectedInfinity-","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","-DirectedInfinity-"
2,6,3,2,"-DirectedInfinity-","-75.65204708058067207823869","-DirectedInfinity-"
2,6,3,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,3,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,6,3,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,1,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,7,1,1,"-DirectedInfinity-","-3.69019608002851366142443251718527238696714479264793081300726990743650687980415833213222305569498","-DirectedInfinity-"
2,7,1,2,"-DirectedInfinity-","-26.656759357334198053355549057411648804899489700635215359533414599427068347","-DirectedInfinity-"
2,7,1,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,1,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,1,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,2,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,7,2,1,"-DirectedInfinity-","-5.2213203261797599029528289635138628390245317740041357722830330120624955657281056745988695642013","-DirectedInfinity-"
2,7,2,2,"-DirectedInfinity-","-48.092197736254530439241922412403303414251893550118329","-DirectedInfinity-"
2,7,2,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,2,4,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,2,5,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
2,7,3,0,"-DirectedInfinity-","0.e-99","-DirectedInfinity-"
2,7,3,1,"-DirectedInfinity-","-6.75242370056534555411199501532385763510599586636589894276636222931841358131349648824808262124","-DirectedInfinity-"
2,7,3,2,"-DirectedInfinity-","-75.65204708058067207823869","-DirectedInfinity-"
2,7,3,3,"-DirectedInfinity-","-DirectedInfinity-","Indeterminate"
